Trust_in_Others,Happiness,Social_Meeting_Frequency,Social_Activity_Level,Education_Years,Unemployed_And_Looking,Main_Activity,Income_Feeling,Importance_of_Understanding_Others,Importance_of_Behaving_Properly,Importance_of_Recognition
8,8,5,4,22,0,66,2,5,4,6
8,7,6,3,13,0,66,3,2,3,4
8,9,6,3,23,0,66,2,1,2,4
6,8,5,2,15,0,66,2,2,4,5
9,8,6,4,9,0,66,2,2,1,3
8,9,6,2,19,0,66,1,1,4,4
8,8,5,3,16,0,2,2,3,2,4
7,7,5,2,10,0,66,1,2,1,2
5,4,6,2,13,0,66,2,1,1,5
9,8,5,3,20,0,66,2,1,2,5
4,9,6,1,16,0,66,1,1,2,6
7,8,3,4,12,0,66,2,2,3,4
10,10,5,3,15,0,66,2,2,3,4
8,8,6,3,9,0,66,2,3,2,4
8,6,4,5,14,0,66,2,3,2,4
4,9,6,2,9,0,66,1,1,1,5
8,9,5,3,11,0,66,1,2,2,5
8,9,7,4,12,0,66,2,3,4,5
8,9,6,3,15,0,1,1,2,2,3
6,9,6,3,14,0,2,2,1,1,4
6,10,6,3,12,0,66,2,3,6,5
7,7,2,2,22,0,66,2,3,2,3
3,5,2,1,10,0,66,2,2,3,3
3,7,4,3,13,0,66,2,1,4,6
6,8,6,3,16,0,66,1,1,2,3
9,8,6,4,14,0,66,3,2,2,5
7,4,6,4,10,0,66,2,3,5,3
6,9,6,3,10,0,66,1,2,3,3
7,8,4,2,12,0,66,2,3,4,5
7,9,7,3,20,0,66,1,2,4,5
4,10,4,2,10,0,66,2,2,2,3
8,7,4,2,11,0,99,3,3,2,3
5,9,4,4,10,0,66,2,4,4,5
7,9,6,3,19,0,66,2,3,3,4
7,9,7,4,11,0,66,1,3,3,4
9,9,6,4,20,0,66,1,2,1,5
7,10,2,4,19,0,66,1,2,5,5
5,10,4,2,14,0,66,2,3,4,5
8,9,6,3,17,0,66,3,3,3,2
9,10,4,5,12,0,66,2,1,1,5
8,5,6,2,12,0,66,1,2,3,4
6,3,4,2,20,0,2,2,2,2,3
8,9,5,2,8,0,66,2,1,1,3
5,5,1,2,15,0,66,8,2,4,3
7,9,5,3,10,0,1,2,1,1,5
8,9,4,4,12,0,66,1,1,1,4
7,9,3,3,17,0,66,2,2,2,5
7,7,6,3,11,0,66,3,2,4,4
6,8,7,2,8,0,1,2,4,2,4
7,7,3,2,20,0,66,1,3,4,3
8,9,4,5,13,0,66,2,1,4,2
1,7,4,2,20,0,1,3,1,5,5
5,4,6,4,11,0,66,2,3,2,5
8,7,6,3,16,0,66,1,1,1,4
8,8,6,3,16,0,66,2,2,3,3
7,8,4,3,16,0,66,2,3,3,3
7,9,7,5,15,0,66,2,1,3,5
5,5,2,2,12,0,99,2,1,2,5
8,7,5,2,19,0,1,2,2,3,4
8,10,4,3,4,0,66,2,3,2,2
8,7,6,4,23,1,66,3,1,3,5
8,8,4,2,16,0,66,2,1,2,5
3,8,6,3,11,0,66,2,2,2,3
8,9,6,3,18,0,66,2,2,1,3
8,8,3,2,18,0,66,2,2,4,4
8,8,7,2,9,0,66,2,2,2,5
6,8,4,2,16,0,66,2,2,3,3
7,8,5,3,18,0,1,2,2,3,4
7,9,6,3,21,0,66,2,3,3,5
10,8,4,3,9,0,66,2,2,2,3
3,9,4,5,16,0,66,1,2,4,5
8,8,7,1,11,0,66,3,2,1,6
3,7,2,2,16,1,8,2,2,3,5
5,5,5,2,9,0,66,2,1,2,4
6,8,5,2,17,0,66,2,2,2,4
1,10,5,3,25,0,66,2,1,6,4
10,10,5,4,10,0,8,2,2,2,6
9,8,7,2,18,0,66,1,3,5,6
7,8,5,3,14,0,66,1,2,2,2
3,4,4,1,17,0,66,2,1,3,4
8,7,6,3,18,0,66,2,2,3,4
5,10,2,2,11,0,66,2,2,1,5
8,9,4,2,18,0,66,2,2,3,5
4,9,5,2,12,0,66,1,2,2,3
7,8,2,2,21,0,66,2,2,2,3
8,8,7,2,10,0,66,2,3,5,5
8,8,3,2,16,0,66,1,1,3,3
3,6,7,5,21,0,6,2,4,5,3
3,3,3,1,16,0,66,3,2,5,5
7,7,4,3,14,0,66,1,2,4,5
8,8,2,1,6,0,66,2,88,88,88
4,2,2,2,13,0,99,2,1,3,5
7,4,2,2,17,0,66,2,1,3,5
3,8,3,1,17,0,66,2,2,5,3
3,9,5,2,22,0,66,1,1,5,3
0,2,5,1,15,0,66,2,2,2,5
8,8,6,3,12,0,66,1,2,3,3
7,10,7,4,15,0,66,1,2,3,6
8,9,7,5,14,0,66,2,1,2,3
7,8,6,3,12,0,1,2,3,4,4
10,0,7,4,17,0,66,3,1,1,5
7,6,6,2,15,0,1,3,1,2,3
8,8,5,4,15,0,66,2,2,3,4
8,9,4,3,14,0,66,1,2,2,3
10,10,5,4,9,0,66,1,1,1,4
8,9,6,3,18,0,66,1,2,2,6
9,10,3,2,16,0,66,2,2,6,5
8,10,5,1,15,0,66,3,1,3,4
9,9,6,3,18,0,66,1,2,3,3
5,8,4,3,12,0,66,2,3,88,5
9,8,4,3,13,0,66,2,3,4,3
7,9,5,4,21,0,66,1,2,2,4
9,8,5,4,11,0,66,3,1,2,4
7,7,6,4,14,0,6,1,1,4,3
7,8,7,3,11,0,66,2,1,4,5
5,8,4,3,11,0,66,2,2,1,5
6,8,6,2,19,0,66,2,1,1,4
7,8,5,3,18,0,66,2,3,4,5
9,9,6,4,17,0,66,2,2,5,3
6,8,6,3,11,0,6,4,2,2,5
8,8,6,3,16,0,66,2,2,4,4
7,8,3,2,15,0,66,2,1,1,3
7,8,5,3,21,0,1,2,3,2,3
6,8,4,2,12,0,66,2,2,2,5
7,5,3,3,11,0,66,2,2,5,4
7,6,5,1,15,0,66,2,1,1,2
3,8,4,1,14,0,66,2,3,4,3
5,5,4,2,13,0,66,3,2,1,3
7,4,4,2,10,0,66,3,2,3,4
5,9,6,4,13,0,6,2,1,2,5
6,8,6,3,18,0,66,2,1,2,2
9,9,5,3,20,0,66,2,1,2,6
6,7,5,2,12,0,66,2,1,1,2
10,10,4,3,18,0,1,2,2,2,4
6,8,5,1,16,0,66,2,3,2,3
4,8,2,1,9,0,66,3,88,88,88
7,8,5,2,13,0,66,1,3,3,3
8,8,5,3,11,0,66,2,3,3,4
7,9,4,2,19,0,66,2,3,3,5
8,9,4,2,13,0,66,1,2,3,6
8,9,6,2,15,0,66,2,3,3,3
10,8,4,2,10,0,66,1,6,2,2
5,7,5,2,12,0,66,2,3,4,5
7,8,4,4,18,0,66,1,3,2,2
6,8,6,2,16,0,66,2,3,3,3
7,7,3,2,16,1,66,2,2,2,3
1,2,5,5,8,0,66,2,1,2,3
7,7,6,3,12,0,66,2,2,4,5
8,4,6,2,14,0,66,2,3,5,4
8,8,6,2,9,0,8,2,4,6,6
5,10,6,2,12,0,66,3,2,4,5
3,4,5,3,21,0,66,1,2,3,3
9,10,5,2,17,0,66,1,2,6,4
8,9,4,2,13,0,66,1,2,1,3
8,8,7,4,11,0,66,1,3,2,3
8,8,5,3,10,0,66,2,2,2,3
8,8,4,4,14,0,66,2,3,3,4
8,8,6,2,11,0,66,2,2,2,4
3,7,3,1,20,0,66,2,2,4,6
7,9,4,3,17,0,66,1,1,2,4
8,9,4,4,11,0,66,2,2,1,3
8,10,5,1,30,0,66,1,2,1,4
8,7,6,2,12,0,66,2,3,2,2
4,8,7,4,10,0,66,2,88,88,88
7,5,6,3,12,0,66,2,1,1,88
8,4,3,1,19,0,66,2,2,3,4
7,8,4,1,12,0,66,1,1,3,5
0,9,6,4,12,0,66,2,2,5,3
4,5,4,2,18,0,66,3,2,3,5
6,7,5,3,18,0,66,3,2,4,3
8,6,3,1,15,0,66,1,1,1,6
6,8,4,3,17,0,66,2,2,2,3
7,7,2,2,22,0,66,2,2,1,4
8,9,6,2,12,0,66,2,2,4,3
5,4,4,3,11,0,66,2,2,4,5
7,5,4,2,10,0,66,3,2,2,5
8,8,7,3,10,0,66,3,2,3,5
7,9,7,2,18,0,1,1,2,2,5
9,9,5,2,14,0,66,2,2,2,3
9,10,6,4,12,0,66,1,1,1,3
6,8,3,2,18,0,66,3,2,4,3
7,10,6,3,13,0,66,2,1,4,5
8,9,7,3,16,0,66,1,2,3,5
2,10,5,4,14,0,66,1,2,2,5
7,9,4,3,14,0,66,2,4,3,5
8,9,5,1,20,0,66,1,2,4,5
8,10,7,3,11,0,66,1,2,2,1
6,8,1,3,15,0,6,1,4,4,4
7,8,5,2,8,0,66,2,3,88,88
9,9,7,3,18,0,66,2,1,5,4
8,7,4,1,12,0,66,1,3,4,4
8,7,6,2,11,0,2,2,2,4,4
7,9,4,2,12,0,66,2,2,2,5
7,8,6,5,12,0,66,2,2,2,2
6,7,6,3,16,0,66,2,1,5,5
7,7,6,3,10,0,66,1,2,2,2
8,8,5,3,19,0,66,2,2,3,5
6,7,7,3,13,0,66,2,2,3,3
8,9,6,3,17,0,66,1,1,5,5
6,7,6,4,17,0,66,2,4,5,3
8,9,6,3,12,0,66,2,3,3,3
9,9,4,2,20,0,66,2,1,2,3
5,8,7,5,9,0,66,1,2,5,2
7,9,3,2,9,0,66,1,3,2,4
9,9,4,2,22,0,66,1,2,5,6
4,8,5,3,25,0,66,2,2,2,2
9,9,5,5,9,0,66,1,1,1,6
8,8,5,1,15,0,66,2,3,3,5
5,3,3,1,9,0,66,2,88,88,88
7,9,3,3,8,0,66,2,2,1,3
5,10,2,2,9,0,66,1,2,3,6
7,5,3,2,11,0,66,2,2,4,5
7,6,5,3,11,0,66,2,2,4,3
8,8,7,3,16,0,1,2,2,2,4
7,7,6,4,21,0,66,3,2,3,4
7,7,7,2,11,0,66,3,2,1,6
6,7,5,2,17,0,66,2,2,3,3
6,8,3,2,12,0,66,2,3,3,5
5,7,6,4,17,0,66,2,2,3,3
6,8,6,3,12,0,66,2,1,1,1
4,7,5,3,15,0,66,1,2,1,1
0,4,7,2,5,0,66,3,3,1,4
5,8,6,3,15,0,66,1,4,2,5
5,10,6,5,17,0,66,2,1,1,6
4,8,6,3,12,0,66,2,2,2,2
5,8,6,3,18,0,66,1,3,1,5
7,7,7,3,14,0,66,2,1,1,4
5,6,4,2,10,0,66,2,2,2,3
0,6,6,3,14,0,66,2,1,3,5
3,5,5,4,9,0,66,2,2,2,4
5,5,3,3,12,0,66,2,1,1,4
3,8,5,2,12,0,66,1,3,1,2
2,8,2,8,14,0,66,2,1,1,2
7,9,7,3,18,0,66,1,2,2,2
5,5,7,3,10,0,66,1,2,2,5
4,5,5,3,5,0,66,2,2,1,5
10,10,6,3,12,0,66,2,3,2,5
5,8,4,3,9,0,66,2,2,1,5
1,2,3,3,15,0,66,3,2,3,3
5,10,6,2,13,0,66,1,1,1,6
8,9,6,4,12,0,66,2,2,2,5
6,7,4,3,12,0,66,1,3,1,1
4,2,6,2,9,0,66,2,1,2,2
7,3,6,3,17,0,66,1,3,3,3
5,8,4,3,9,0,66,1,2,1,3
5,8,3,3,12,0,66,2,1,1,4
5,7,4,3,15,0,66,3,2,2,4
2,3,7,4,8,0,66,4,2,2,5
7,8,4,4,20,0,66,1,1,1,4
5,7,3,3,12,0,66,2,1,2,5
6,7,6,3,16,0,66,3,2,4,4
4,7,7,3,15,0,66,1,2,2,3
4,8,7,4,18,0,66,1,3,3,3
5,6,6,3,9,0,66,2,1,1,4
7,7,3,3,17,0,66,1,4,4,4
4,10,7,3,10,0,66,1,5,4,3
1,7,3,2,7,1,66,2,3,2,2
6,9,6,2,12,0,1,2,2,3,4
6,8,4,3,13,0,66,2,2,2,4
5,5,5,3,9,0,66,1,2,1,5
6,7,6,2,15,0,66,2,3,3,4
4,3,5,3,17,0,66,3,1,4,4
3,5,4,3,11,0,66,2,3,2,3
8,7,6,4,17,0,66,2,2,4,5
8,8,4,1,17,0,66,2,2,2,5
7,7,6,4,17,0,66,2,1,1,4
3,6,6,3,9,0,66,2,3,3,3
4,10,4,8,12,0,66,1,1,1,4
3,4,3,3,14,0,66,2,2,5,5
2,7,7,4,10,0,66,2,1,2,5
6,8,4,3,13,0,66,3,2,2,5
8,5,4,3,17,0,66,2,1,5,4
7,8,7,3,12,0,66,2,2,2,6
0,10,7,3,12,0,66,1,1,1,4
10,10,7,4,16,0,66,1,1,5,6
7,5,5,2,15,0,66,3,2,1,5
3,0,1,3,9,1,66,2,1,1,1
3,3,5,2,17,0,66,2,2,6,5
7,9,6,2,18,0,66,2,1,1,4
6,9,7,3,12,0,66,1,1,2,5
3,7,7,3,12,0,66,1,4,4,5
0,8,7,4,12,0,66,1,1,2,1
5,8,3,3,15,0,66,1,2,4,5
7,7,5,2,14,0,66,1,1,4,5
5,7,6,3,10,0,66,2,3,2,3
6,9,5,2,16,0,66,1,1,4,4
5,8,4,3,0,0,66,2,2,2,3
6,7,6,3,14,0,66,1,3,4,4
5,8,6,3,11,0,66,2,2,1,1
7,6,7,4,15,0,66,1,1,2,4
5,7,4,3,12,0,66,2,1,5,5
4,10,6,2,15,0,66,1,1,1,1
7,9,6,3,16,0,66,1,1,6,5
5,10,7,3,12,0,66,2,2,3,3
3,2,5,3,9,0,66,1,3,2,3
3,5,5,3,12,0,66,1,4,1,3
1,6,6,2,9,0,66,1,4,2,4
4,6,7,3,15,0,66,2,2,2,4
5,7,4,2,20,0,66,1,2,2,5
0,8,6,3,12,0,66,1,1,1,1
6,8,6,3,14,0,66,1,2,2,5
6,8,6,5,11,0,66,3,2,2,2
4,4,7,2,9,0,66,3,4,5,5
5,5,5,3,10,0,66,1,2,2,5
4,6,6,3,20,0,66,1,1,2,4
4,5,3,3,12,0,66,2,5,3,6
2,7,6,3,12,0,1,1,1,1,3
3,7,4,4,15,0,66,2,2,3,5
7,6,5,5,17,0,66,1,1,1,4
4,6,4,3,14,0,66,2,2,2,5
0,88,6,2,11,0,66,3,3,3,2
3,2,7,1,12,0,66,2,2,1,5
5,5,7,3,9,0,66,1,2,1,1
5,6,5,2,14,0,66,2,3,5,5
7,7,6,2,19,0,66,1,2,2,3
8,9,6,2,12,0,66,1,4,5,5
6,8,7,2,14,0,66,1,2,3,3
2,77,4,4,9,0,66,1,1,1,1
4,5,7,3,12,0,66,3,2,1,1
5,7,6,2,9,0,66,1,4,4,5
3,7,6,3,20,0,66,3,2,4,5
3,2,6,3,5,0,66,1,66,66,66
7,7,4,3,10,0,66,1,2,3,4
3,5,5,3,15,0,66,2,77,77,77
8,9,7,5,15,0,66,1,2,1,3
7,8,5,2,11,0,66,3,2,5,5
4,8,2,3,12,0,66,1,3,2,5
5,8,6,3,14,0,66,2,4,5,5
7,7,6,3,11,0,66,2,4,2,3
6,7,5,3,14,0,66,1,5,1,5
3,10,4,2,20,0,66,1,1,3,3
5,5,4,3,12,0,66,1,2,1,1
5,3,5,3,12,0,66,2,2,1,1
8,6,6,3,14,0,66,2,2,3,5
5,9,7,4,15,0,66,1,3,1,3
6,8,5,3,20,0,66,2,2,2,3
7,10,6,3,16,0,66,1,2,2,4
5,8,6,3,13,0,66,2,2,3,5
5,1,3,4,17,0,66,1,2,1,4
7,6,6,3,15,0,66,3,1,77,77
8,10,4,4,18,0,66,1,2,1,5
6,8,3,2,11,0,66,1,3,2,4
6,6,4,3,5,0,66,2,4,2,6
6,9,5,3,20,0,66,1,1,3,5
5,9,5,4,12,0,66,2,2,5,6
7,7,4,4,15,0,66,1,4,2,3
5,8,4,4,13,0,66,1,3,2,4
6,8,3,2,13,0,66,1,1,1,5
7,6,7,5,14,0,66,1,1,6,6
5,5,6,4,13,0,66,2,2,5,2
0,5,4,3,9,0,66,2,2,1,3
5,7,7,3,16,0,66,1,2,2,2
4,88,4,4,12,0,66,1,2,1,6
7,10,6,3,16,0,66,1,3,2,5
7,8,6,4,17,0,66,2,2,3,3
5,7,5,1,5,0,66,1,2,1,5
5,4,2,3,15,0,66,7,2,2,2
0,10,3,3,14,0,66,2,2,4,4
3,5,6,3,10,0,66,3,2,4,4
8,3,5,2,8,0,66,2,1,3,1
5,7,6,3,15,0,66,3,2,2,2
7,8,4,3,16,0,66,2,3,5,5
3,9,6,5,14,0,66,1,3,4,5
3,9,7,4,12,1,66,1,1,1,5
5,5,4,3,12,0,66,3,2,3,4
5,8,5,4,14,0,66,3,3,6,4
5,9,4,3,12,0,66,1,1,4,5
7,5,5,3,9,0,66,8,88,88,3
7,8,6,4,17,0,66,1,2,5,5
1,8,4,2,19,0,66,2,5,2,3
4,6,3,3,9,0,66,3,2,5,4
0,10,6,4,12,0,66,1,1,1,1
2,0,3,1,10,0,66,3,2,2,2
7,10,6,3,12,0,66,1,4,4,4
7,8,4,3,15,0,66,1,3,4,2
5,9,6,3,14,0,66,2,2,2,5
5,8,4,3,9,0,66,1,1,2,1
4,4,4,2,12,1,66,1,1,1,5
5,0,3,1,11,0,66,3,1,1,1
1,8,6,5,13,0,66,3,1,1,2
6,4,5,3,12,0,6,2,4,4,3
5,9,6,3,18,0,66,2,4,3,3
6,7,7,2,18,0,66,1,2,3,4
6,5,6,4,11,0,66,2,2,1,4
8,8,4,2,10,0,66,2,4,2,4
5,7,3,3,11,1,3,1,3,1,1
6,3,7,3,18,0,66,1,2,4,5
6,7,7,3,17,0,2,2,1,5,4
0,0,4,1,16,0,66,3,2,2,1
7,88,6,3,16,0,66,2,3,3,5
5,7,5,3,20,0,66,1,2,4,3
5,8,4,3,14,0,66,4,3,2,5
7,2,5,3,16,0,1,2,1,2,4
7,8,4,3,18,0,66,1,2,2,5
0,10,1,3,11,0,66,1,1,1,6
5,5,5,3,17,0,66,2,2,3,5
3,5,4,2,12,0,66,2,4,2,2
2,6,4,3,9,0,66,2,66,66,66
0,7,6,2,16,0,66,3,1,3,3
2,8,6,3,16,0,66,1,2,2,3
7,7,6,3,17,0,66,1,1,4,5
5,7,6,3,12,0,66,1,3,4,5
5,9,3,3,12,0,66,2,1,2,5
5,5,5,3,12,0,66,2,4,1,5
5,9,6,4,15,0,66,1,2,2,3
5,9,5,2,14,0,66,1,1,2,6
5,7,6,3,15,0,66,1,3,3,3
5,3,3,3,20,0,66,2,2,2,1
6,8,6,3,19,0,66,1,3,3,4
5,8,6,4,12,0,66,2,2,2,4
7,7,4,3,17,0,66,2,2,2,4
5,9,6,3,12,0,66,2,1,1,4
4,8,5,2,12,0,66,2,2,2,2
5,7,5,2,14,0,66,2,3,3,3
3,4,2,1,13,0,8,4,1,3,5
5,8,4,3,12,0,66,2,3,2,5
1,10,7,5,20,0,66,1,1,1,1
4,8,3,3,14,0,66,7,3,3,2
3,7,6,3,14,0,66,1,1,4,4
5,8,7,3,14,1,66,1,1,5,6
7,8,7,4,15,0,66,1,3,4,6
1,6,6,3,12,0,66,2,3,1,2
5,7,5,4,17,0,66,1,2,3,4
1,8,7,2,14,0,66,2,1,1,1
0,6,1,2,14,0,66,2,4,1,4
3,1,6,2,13,0,66,3,5,4,4
5,9,5,3,8,0,66,2,4,2,5
2,6,2,1,10,0,66,2,3,2,5
5,8,5,2,23,0,66,1,4,3,2
4,3,4,2,14,0,66,2,3,3,5
5,7,4,3,12,0,66,2,2,3,5
2,7,6,3,12,0,66,2,2,2,2
5,8,7,3,16,0,66,1,2,3,4
4,3,3,3,12,0,66,2,2,1,2
7,8,6,3,17,0,66,1,2,4,2
4,7,6,3,12,0,66,2,1,3,5
4,5,6,3,11,0,66,3,1,1,2
3,7,3,3,16,0,66,1,1,2,4
7,7,6,3,12,0,66,2,3,3,5
10,3,1,3,9,0,66,3,1,1,4
7,9,5,3,18,0,66,1,1,2,3
4,5,7,1,13,0,66,1,2,4,4
2,2,5,2,5,0,66,2,4,4,5
6,8,6,4,16,0,66,2,2,3,5
6,5,5,3,20,0,66,1,2,4,3
4,9,4,3,11,0,66,1,2,2,5
5,1,7,3,9,0,66,2,1,1,2
6,7,5,3,9,0,66,1,2,2,4
3,0,7,2,8,0,66,4,2,5,5
3,9,7,3,13,0,66,1,2,1,2
8,88,2,3,12,1,66,8,1,4,2
88,7,7,3,5,0,66,2,4,2,2
3,8,3,2,15,0,66,2,1,1,1
4,7,6,4,15,0,66,2,1,1,2
5,7,4,3,15,0,66,1,1,1,2
5,10,7,3,5,0,66,2,1,1,1
2,7,5,3,14,0,66,2,1,1,6
5,7,4,4,15,0,66,1,2,2,2
4,3,6,5,12,1,66,3,5,1,2
5,5,4,3,15,0,66,1,1,1,1
5,8,5,3,15,0,66,1,2,4,4
4,10,1,2,11,0,99,2,1,1,4
5,0,4,2,14,0,66,2,4,1,5
0,10,7,3,7,0,66,2,1,1,6
2,0,6,3,9,0,66,2,4,1,1
2,8,6,3,9,0,66,1,3,3,6
0,7,3,2,9,0,66,2,3,3,5
5,7,7,3,11,0,66,2,2,1,4
5,7,1,1,16,1,66,1,1,3,5
5,7,4,3,15,0,66,1,3,2,3
5,9,6,3,17,0,66,1,3,3,3
3,1,4,3,14,0,66,2,3,5,5
4,7,4,2,13,0,66,1,66,66,66
2,7,7,4,12,0,66,2,4,5,3
4,8,7,3,15,0,66,2,1,1,4
5,7,4,2,13,0,66,3,3,2,2
3,0,6,4,14,0,66,2,2,1,1
5,4,4,3,17,0,66,1,2,1,2
6,88,6,4,12,0,66,1,1,1,5
2,7,6,3,12,0,66,2,4,1,1
5,8,3,3,17,0,66,2,3,3,4
7,4,5,3,12,0,66,3,1,1,6
3,6,3,3,6,0,66,2,1,1,1
6,6,6,1,16,0,66,4,2,1,5
5,7,4,2,17,0,66,2,1,1,3
5,4,7,2,12,0,66,2,2,6,3
6,7,5,3,12,0,66,2,2,1,5
5,8,6,2,15,0,66,1,5,2,2
4,6,4,3,14,0,66,3,3,3,2
5,5,4,3,5,0,66,3,66,66,66
88,8,6,3,17,0,66,2,1,1,4
4,7,6,2,16,0,66,1,1,5,4
1,9,6,3,9,0,66,2,2,2,3
5,8,4,3,13,0,66,2,3,2,4
5,4,4,4,15,0,66,2,2,3,3
5,6,4,3,17,0,66,3,3,5,5
4,7,2,2,7,0,66,1,3,1,4
7,8,5,4,15,0,6,1,1,1,4
6,4,6,3,9,0,66,2,2,3,4
77,8,4,2,17,0,66,2,3,4,5
6,7,7,3,12,0,66,1,5,3,2
3,10,4,2,14,0,66,1,4,5,6
0,8,6,3,12,0,66,1,4,3,3
0,1,6,3,10,0,66,2,4,1,1
2,6,7,4,11,0,66,1,3,2,4
3,9,6,3,12,1,66,1,3,1,5
6,8,4,3,18,0,66,1,2,4,4
5,8,6,2,12,0,66,1,1,2,4
3,8,6,4,12,0,66,3,2,2,2
2,9,4,2,12,0,66,1,2,3,2
4,4,3,2,16,0,66,3,1,4,3
5,4,4,3,17,0,66,2,3,3,3
7,10,5,4,15,0,66,1,2,4,5
6,9,5,5,13,0,66,1,1,4,6
7,6,7,4,20,0,66,1,1,2,5
3,7,4,2,16,0,66,3,2,5,2
5,5,6,2,12,0,66,2,4,1,3
8,10,7,4,17,0,66,1,1,2,4
5,7,6,3,10,0,66,1,3,5,6
3,8,3,3,18,0,66,1,4,3,5
6,8,6,2,11,0,66,2,2,5,5
6,4,6,3,14,0,66,2,4,3,5
3,6,4,3,12,0,66,2,2,1,5
5,8,5,3,10,0,66,1,2,4,1
4,9,6,2,13,0,66,1,1,2,2
7,9,7,3,18,0,66,2,2,4,5
6,7,5,3,17,0,66,1,4,4,4
5,8,6,3,9,0,66,2,2,2,4
6,8,7,3,15,0,66,2,2,2,4
7,3,4,3,12,0,66,2,77,2,2
4,8,6,2,12,0,66,1,1,4,5
5,7,5,3,11,0,66,2,3,4,4
0,7,5,1,9,0,66,2,6,2,5
0,6,2,3,10,0,66,2,3,1,2
5,8,4,3,13,0,66,2,2,5,5
0,5,3,3,12,0,66,1,2,2,6
5,8,2,2,1,0,66,2,2,5,5
5,8,7,3,17,0,66,1,2,3,4
5,5,2,3,5,0,66,2,4,4,4
0,5,3,2,12,1,66,2,1,1,4
3,4,4,3,14,0,66,2,3,1,5
0,10,1,3,20,0,66,1,3,1,3
8,6,5,3,12,0,66,2,2,4,4
5,8,6,3,11,0,66,2,1,1,1
8,8,3,2,26,0,66,1,3,5,1
5,9,6,3,8,0,66,2,2,3,4
3,5,5,3,9,0,66,1,2,2,1
3,9,6,4,18,0,66,1,3,2,5
7,7,4,3,18,0,66,2,4,1,1
4,7,4,3,11,0,2,1,5,5,4
1,0,6,2,9,0,66,2,2,5,77
3,8,6,3,15,0,66,2,3,2,2
3,7,4,3,16,0,66,2,2,2,3
7,5,4,1,15,0,66,2,3,4,5
5,7,6,4,12,0,66,1,3,3,4
0,8,5,3,13,0,66,1,1,1,5
3,77,3,3,12,0,66,2,4,2,3
6,8,6,2,18,0,66,1,1,3,4
6,9,6,3,16,0,66,1,2,2,3
3,8,6,4,14,0,66,1,4,2,4
5,8,6,3,11,0,66,1,3,3,5
2,8,7,4,15,0,66,1,2,5,4
5,8,7,4,17,0,66,1,1,1,1
4,7,7,2,10,0,66,2,2,3,4
3,8,6,3,12,0,66,2,2,5,6
2,8,4,2,20,0,66,1,2,2,4
5,8,5,3,14,0,66,1,2,2,4
5,6,4,3,17,0,66,1,3,88,88
4,5,7,4,15,0,66,1,1,2,2
2,6,4,2,16,1,3,2,2,3,4
9,8,6,3,18,0,66,1,1,4,6
2,4,5,2,15,0,66,2,2,2,2
5,4,6,2,12,0,66,3,5,3,4
5,7,5,3,20,0,66,1,3,3,4
8,9,6,2,12,0,66,1,1,6,6
6,8,5,4,17,0,66,2,1,1,3
7,8,6,4,17,0,66,1,2,2,4
5,5,5,3,12,0,66,2,2,1,5
6,4,2,2,17,0,66,2,1,4,5
7,7,6,3,17,0,66,1,2,2,2
6,8,6,3,16,0,66,1,4,2,5
3,6,7,3,5,0,66,1,1,1,5
5,9,3,2,9,0,66,2,4,1,2
3,7,6,3,11,0,66,2,2,2,2
5,9,7,3,17,0,66,1,1,4,6
7,8,7,4,12,0,66,2,1,6,6
10,5,7,5,12,0,66,2,1,4,1
7,9,7,4,15,0,6,1,3,4,4
6,8,4,4,17,0,66,1,1,88,6
3,7,4,3,12,0,66,2,3,2,3
8,8,6,4,14,0,66,2,2,3,4
5,8,6,3,12,0,66,2,3,1,4
5,7,4,3,15,0,66,1,2,2,3
7,6,5,3,19,0,66,2,1,4,6
4,6,6,3,12,0,6,2,2,4,5
0,7,6,3,9,0,66,7,2,3,4
5,7,7,4,15,0,66,1,1,1,6
4,8,3,4,17,0,66,1,1,1,3
4,9,4,4,18,0,66,2,2,2,2
6,4,7,3,15,0,66,2,2,3,5
7,7,6,3,18,0,66,1,1,3,5
7,9,4,4,18,0,66,1,1,1,5
4,6,4,3,12,0,66,2,2,3,2
5,7,3,2,12,0,66,1,1,5,2
4,7,6,3,14,0,66,2,2,2,2
3,2,4,2,12,0,66,1,2,3,4
2,5,6,4,12,0,66,2,2,1,2
8,9,6,3,18,1,1,2,1,3,4
1,8,3,2,17,0,88,2,4,1,6
7,7,7,3,12,0,66,2,3,3,5
0,1,6,3,9,0,66,3,3,2,4
3,6,7,4,12,0,66,2,4,5,5
1,5,5,3,14,0,66,2,2,3,5
5,9,6,4,16,0,66,1,1,3,3
6,10,7,3,11,0,66,1,1,3,4
3,0,3,2,10,0,66,3,2,1,2
1,10,4,4,11,0,66,1,2,2,4
2,5,3,1,12,0,66,1,1,2,1
0,3,6,3,13,0,66,2,2,5,5
0,8,6,3,11,0,66,2,2,2,4
2,8,6,3,15,0,66,1,2,1,3
0,88,6,3,13,0,66,2,4,4,3
5,7,4,3,15,0,66,2,2,5,5
4,7,4,3,13,0,66,3,2,2,4
4,6,6,3,12,0,66,2,3,2,5
5,10,7,3,12,0,66,2,1,2,6
4,8,5,1,11,0,66,2,2,2,5
3,10,6,3,20,0,66,1,1,5,5
5,7,5,2,13,0,66,1,3,3,3
5,6,7,5,12,1,66,2,3,4,5
8,8,6,4,15,0,1,1,2,3,4
